,SPS,Percentage,source
0,SPS7,0.12089769746429613,Healthy Normal (Lee-Six et al.)
1,SPS7,0.07747022496691663,Healthy Normal (Lee-Six et al.)
2,SPS7,0.016762060506950123,Healthy Normal (Lee-Six et al.)
3,SPS7,0.0,Healthy Normal (Lee-Six et al.)
4,SPS7,0.04060184919313157,Healthy Normal (Lee-Six et al.)
5,SPS7,0.0,Healthy Normal (Lee-Six et al.)
6,SPS7,0.03290693803794759,Healthy Normal (Lee-Six et al.)
7,SPS7,0.005625462620281273,Healthy Normal (Lee-Six et al.)
8,SPS7,0.0035198446413399684,Healthy Normal (Lee-Six et al.)
9,SPS7,0.09232954545454546,Healthy Normal (Lee-Six et al.)
10,SPS7,0.018018018018018018,Healthy Normal (Lee-Six et al.)
11,SPS7,0.0,Healthy Normal (Lee-Six et al.)
12,SPS7,0.0,Healthy Normal (Lee-Six et al.)
13,SPS7,0.08523872098116514,Healthy Normal (Lee-Six et al.)
14,SPS7,0.10217231222385861,Healthy Normal (Lee-Six et al.)
15,SPS7,0.001311293014384487,Healthy Normal (Lee-Six et al.)
16,SPS7,0.03151677490220261,Healthy Normal (Lee-Six et al.)
17,SPS7,0.03067907618062737,Healthy Normal (Lee-Six et al.)
18,SPS7,0.0,Healthy Normal (Lee-Six et al.)
19,SPS7,0.051516807871003004,Healthy Normal (Lee-Six et al.)
20,SPS7,0.0,Healthy Normal (Lee-Six et al.)
21,SPS7,0.029521180847233888,Healthy Normal (Lee-Six et al.)
22,SPS7,0.11734800183356253,Healthy Normal (Lee-Six et al.)
23,SPS7,0.20290132435122102,Healthy Normal (Lee-Six et al.)
24,SPS7,0.0,Healthy Normal (Lee-Six et al.)
25,SPS7,0.0029201343261790044,Healthy Normal (Lee-Six et al.)
26,SPS7,0.03759084454097402,Healthy Normal (Lee-Six et al.)
27,SPS7,0.011604851877770002,Healthy Normal (Lee-Six et al.)
28,SPS7,0.03338580371197423,Healthy Normal (Lee-Six et al.)
29,SPS7,0.0,Healthy Normal (Lee-Six et al.)
30,SPS7,0.15564760235781425,Healthy Normal (Lee-Six et al.)
31,SPS7,0.16472043542800593,Healthy Normal (Lee-Six et al.)
32,SPS7,0.04123804776362895,Healthy Normal (Lee-Six et al.)
33,SPS7,0.0,Healthy Normal (Lee-Six et al.)
34,SPS7,0.0,Healthy Normal (Lee-Six et al.)
35,SPS7,0.009964000161797026,Healthy Normal (Lee-Six et al.)
36,SPS7,0.05718475073313783,Healthy Normal (Lee-Six et al.)
37,SPS7,0.036217383551601846,Healthy Normal (Lee-Six et al.)
38,SPS7,0.4795757762970154,Healthy Normal (Lee-Six et al.)
39,SPS7,0.0,Healthy Normal (Lee-Six et al.)
C519_A1_G1_D1,SPS7,0.0,EPICC Adjacent Normal
C519_A1_G10_D1,SPS7,0.0,EPICC Adjacent Normal
C519_A1_G5_D1,SPS7,0.0,EPICC Adjacent Normal
C519_B1_G2_D1,SPS7,0.0,EPICC Adjacent Normal
C519_B1_G3_D1,SPS7,0.0,EPICC Adjacent Normal
C519_D1_G2_D1,SPS7,0.0,EPICC Adjacent Normal
C519_D1_G9_D1,SPS7,0.0,EPICC Adjacent Normal
C519_E1_G1_D1,SPS7,0.0,EPICC Distant Normal
C524_A1_G3_D1,SPS7,0.030897703549060542,EPICC Adjacent Normal
C524_A1_G6_D1,SPS7,0.025901942645698426,EPICC Adjacent Normal
C527_A1_G10_D1,SPS7,0.0,EPICC Adjacent Normal
C527_A1_G8_D1,SPS7,0.029487179487179487,EPICC Adjacent Normal
C527_C1_G7_D1,SPS7,0.0,EPICC Adjacent Normal
C527_C1_G9_D1,SPS7,0.0,EPICC Adjacent Normal
C527_D1_B1_D1,SPS7,0.0,EPICC Adjacent Normal
C528_B1_G6_D1,SPS7,0.005717552887364208,EPICC Adjacent Normal
C528_D1_G6_D1,SPS7,0.03640776699029126,EPICC Adjacent Normal
C528_D1_G8_D1,SPS7,0.00510204081632653,EPICC Adjacent Normal
C528_D1_G9_D1,SPS7,0.0,EPICC Adjacent Normal
C530_B1_G2_D1,SPS7,0.2416555407209613,EPICC Adjacent Normal
C530_B1_G7_D1,SPS7,0.09930715935334873,EPICC Adjacent Normal
C530_C1_G10_D1,SPS7,0.27538586515028435,EPICC Adjacent Normal
C530_C1_G7_D1,SPS7,0.12727272727272726,EPICC Adjacent Normal
C530_E1_G1_D1,SPS7,0.034834834834834835,EPICC Distant Normal
C531_D1_G1_D1,SPS7,0.23277591973244147,EPICC Adjacent Normal
C531_D1_G2_D1,SPS7,0.19486301369863013,EPICC Adjacent Normal
C531_D1_G7_D1,SPS7,0.16363636363636364,EPICC Adjacent Normal
C537_B1_G3_D1,SPS7,0.46529680365296805,EPICC Adjacent Normal
C537_B1_G4_D1,SPS7,0.2598870056497175,EPICC Adjacent Normal
C537_D1_G10_D1,SPS7,0.32996432818073723,EPICC Adjacent Normal
C537_D1_G7_D1,SPS7,0.2591170825335892,EPICC Adjacent Normal
C537_E1_G3_D1,SPS7,0.22907153729071536,EPICC Distant Normal
C543_A1_G10_D1,SPS7,0.027700831024930747,EPICC Adjacent Normal
C543_A1_G2_D1,SPS7,0.19240506329113924,EPICC Adjacent Normal
C543_C1_G1_D1,SPS7,0.08660130718954248,EPICC Adjacent Normal
C543_C1_G8_D1,SPS7,0.0917384693360365,EPICC Adjacent Normal
C543_D1_G10_D1,SPS7,0.07881498043599776,EPICC Adjacent Normal
C543_D1_G9_D1,SPS7,0.1105379513633014,EPICC Adjacent Normal
C544_B1_G1_D1,SPS7,0.059422750424448216,EPICC Adjacent Normal
C544_B1_G2_D1,SPS7,0.04885496183206107,EPICC Adjacent Normal
C544_C1_G3_D1,SPS7,0.24157549234135667,EPICC Adjacent Normal
C544_E1_B1_D1,SPS7,0.17839444995044598,EPICC Distant Normal
C544_E1_G1_D1,SPS7,0.11156186612576065,EPICC Distant Normal
C544_E1_G3_D1,SPS7,0.18285714285714286,EPICC Distant Normal
C547_A1_G4_D1,SPS7,0.4082125603864734,EPICC Adjacent Normal
C547_B1_G2_D1,SPS7,0.4152930402930403,EPICC Adjacent Normal
C547_B1_G3_D1,SPS7,0.3363329583802025,EPICC Adjacent Normal
C547_B1_G4_D1,SPS7,0.14578786556089043,EPICC Adjacent Normal
C547_C1_G7_D1,SPS7,0.3735277621985418,EPICC Adjacent Normal
C547_D1_G6_D1,SPS7,0.3852663016426083,EPICC Adjacent Normal
C547_D1_G8_D1,SPS7,0.3348436792025374,EPICC Adjacent Normal
C547_E1_G1_D1,SPS7,0.2759084791386272,EPICC Distant Normal
C549_A1_G2_D1,SPS7,0.0,EPICC Adjacent Normal
C549_A1_G8_D1,SPS7,0.0,EPICC Adjacent Normal
C549_C1_G4_D1,SPS7,0.0,EPICC Adjacent Normal
C549_C1_G8_D1,SPS7,0.0,EPICC Adjacent Normal
C550_A1_G2_D1,SPS7,0.14812332439678283,EPICC Adjacent Normal
C550_B1_G2_D1,SPS7,0.14509660955158585,EPICC Adjacent Normal
C550_B1_G3_D1,SPS7,0.13495222929936307,EPICC Adjacent Normal
C550_C1_G3_D1,SPS7,0.19984973703981967,EPICC Adjacent Normal
C550_C1_G4_D1,SPS7,0.272680145152929,EPICC Adjacent Normal
C550_D1_G2_D1,SPS7,0.1182282793867121,EPICC Adjacent Normal
C550_D1_G5_D1,SPS7,0.20075757575757575,EPICC Adjacent Normal
C551_D1_G5_D1,SPS7,0.06666666666666667,EPICC Adjacent Normal
C555_B1_G10_D1,SPS7,0.0,EPICC Adjacent Normal
C555_C1_G1_D1,SPS7,0.0,EPICC Adjacent Normal
C555_C1_G7_D1,SPS7,0.0,EPICC Adjacent Normal
C555_C1_G9_D1,SPS7,0.0,EPICC Adjacent Normal
C560_A1_G8_D1,SPS7,0.0,EPICC Adjacent Normal
C560_D1_G5_D1,SPS7,0.025658338960162053,EPICC Adjacent Normal
C560_D1_G9_D1,SPS7,0.0,EPICC Adjacent Normal
C519_A4_L1_D1,SPS7,0.0,EPICC Cancer
C519_B3_L1_D1,SPS7,0.0,EPICC Cancer
C519_C1_L1_D1,SPS7,0.0,EPICC Cancer
C519_D2_L1_D1,SPS7,0.0,EPICC Cancer
C524_B1_G4_D1,SPS7,0.062,EPICC Cancer
C524_B1_G5_D1,SPS7,0.064,EPICC Cancer
C524_B1_G6_D1,SPS7,0.059000000000000004,EPICC Cancer
C524_C1_G10_D1,SPS7,0.065,EPICC Cancer
C524_C1_G2_D1,SPS7,0.057999999999999996,EPICC Cancer
C524_C1_G4_D1,SPS7,0.064,EPICC Cancer
C524_C1_G5_D1,SPS7,0.076,EPICC Cancer
C524_C1_G8_D1,SPS7,0.061,EPICC Cancer
C524_D1_G10_D1,SPS7,0.071,EPICC Cancer
C524_D1_G5_D1,SPS7,0.073,EPICC Cancer
C527_A3_L1_D1,SPS7,0.005,EPICC Cancer
C527_B1_G7_D1,SPS7,0.005,EPICC Cancer
C527_B3_L1_D1,SPS7,0.003,EPICC Cancer
C527_C2_L1_D1,SPS7,0.003,EPICC Cancer
C528_A1_G7_D1,SPS7,0.006,EPICC Cancer
C528_A1_G9_D1,SPS7,0.006999999999999999,EPICC Cancer
C528_B1_G2_D1,SPS7,0.0,EPICC Cancer
C528_B1_G9_D1,SPS7,0.0,EPICC Cancer
C528_C1_G10_D1,SPS7,0.005,EPICC Cancer
C528_C1_G9_D1,SPS7,0.009000000000000001,EPICC Cancer
C530_A1_G1_D1,SPS7,0.092,EPICC Cancer
C530_A1_G4_D1,SPS7,0.09,EPICC Cancer
C530_A1_G6_D1,SPS7,0.09,EPICC Cancer
C530_A1_G9_D1,SPS7,0.092,EPICC Cancer
C530_D1_G1_D1,SPS7,0.099,EPICC Cancer
