,SPS1,SPS2,SPS3,SPS4,SPS5,SPS6,SPS7,Pid
C516_E1_B1_D1,0.34798694232861804,0.0,0.0,0.013667029379760609,0.0,0.6383460282916213,0.0,C516
C519_A1_G1_D1,0.7470119521912351,0.0,0.10557768924302789,0.0,0.1454183266932271,0.00199203187250996,0.0,C519
C519_A1_G10_D1,0.8869492934330839,0.03158769742310889,0.0,0.0,0.0,0.08146300914380715,0.0,C519
C519_A1_G5_D1,0.8746255883611468,0.014120667522464698,0.0,0.009841677364142062,0.0,0.10141206675224647,0.0,C519
C519_B1_G2_D1,0.8782535684298909,0.030226700251889168,0.07388748950461797,0.0,0.017632241813602016,0.0,0.0,C519
C519_B1_G3_D1,0.8668242710795903,0.0031520882584712374,0.04097714736012608,0.0,0.0,0.08904649330181245,0.0,C519
C519_D1_G2_D1,0.9380108991825613,0.01907356948228883,0.0,0.0,0.0,0.042915531335149866,0.0,C519
C519_D1_G9_D1,0.868013468013468,0.04107744107744108,0.022895622895622896,0.0,0.0,0.06801346801346801,0.0,C519
C519_E1_G1_D1,0.8910714285714286,0.0035714285714285713,0.009821428571428571,0.01607142857142857,0.055357142857142855,0.024107142857142858,0.0,C519
C524_A1_G3_D1,0.9052192066805845,0.005427974947807933,0.056784968684759914,0.0,0.0016701461377870565,0.0,0.030897703549060542,C524
C524_A1_G6_D1,0.9643848288621647,0.0,0.005087881591119334,0.0,0.004625346901017576,0.0,0.025901942645698426,C524
C527_A1_G10_D1,0.767175572519084,0.055820610687022904,0.10877862595419847,0.0,0.06822519083969465,0.0,0.0,C527
C527_A1_G8_D1,0.8666666666666667,0.0,0.07692307692307693,0.005128205128205128,0.021794871794871794,0.0,0.029487179487179487,C527
C527_C1_G7_D1,0.6240601503759399,0.03508771929824561,0.24561403508771928,0.0,0.09523809523809523,0.0,0.0,C527
C527_C1_G9_D1,0.7071651090342679,0.036344755970924195,0.15472481827622014,0.005192107995846314,0.03426791277258567,0.06230529595015576,0.0,C527
C527_D1_B1_D1,0.7489245209229566,0.04145482987876418,0.14078998826750097,0.010950332420805632,0.03245991396167384,0.025420414548298787,0.0,C527
C528_B1_G6_D1,0.7844482561463694,0.03544882790165809,0.1595197255574614,0.0,0.014865637507146942,0.0,0.005717552887364208,C528
C528_D1_G6_D1,0.7548543689320388,0.007281553398058253,0.1553398058252427,0.0,0.014563106796116505,0.03155339805825243,0.03640776699029126,C528
C528_D1_G8_D1,0.7816326530612245,0.013265306122448979,0.19183673469387755,0.0,0.00816326530612245,0.0,0.00510204081632653,C528
C528_D1_G9_D1,0.83046875,0.01796875,0.13515625,0.0,0.0015625,0.01484375,0.0,C528
C530_B1_G2_D1,0.5540720961281709,0.02336448598130841,0.0,0.0,0.06074766355140187,0.12016021361815754,0.2416555407209613,C530
C530_B1_G7_D1,0.7405696689761355,0.015396458814472672,0.03849114703618168,0.004618937644341801,0.016936104695919937,0.08468052347959969,0.09930715935334873,C530
C530_C1_G10_D1,0.4930950446791227,0.05199025182778229,0.0,0.0,0.04467912266450041,0.1348497156783103,0.27538586515028435,C530
C530_C1_G7_D1,0.7986013986013986,0.011188811188811189,0.0,0.0,0.008391608391608392,0.05454545454545454,0.12727272727272726,C530
C530_E1_G1_D1,0.7333333333333333,0.03663663663663664,0.11951951951951952,0.024024024024024024,0.03123123123123123,0.02042042042042042,0.034834834834834835,C530
C531_D1_G1_D1,0.7267558528428094,0.012040133779264214,0.0,0.0,0.028428093645484948,0.0,0.23277591973244147,C531
C531_D1_G2_D1,0.7527397260273972,0.0,0.01678082191780822,0.0,0.014041095890410958,0.021575342465753426,0.19486301369863013,C531
C531_D1_G7_D1,0.6262626262626263,0.06464646464646465,0.0,0.03636363636363636,0.01717171717171717,0.09191919191919191,0.16363636363636364,C531
C537_B1_G3_D1,0.4780821917808219,0.0,0.047488584474885846,0.0,0.0,0.0091324200913242,0.46529680365296805,C537
C537_B1_G4_D1,0.536723163841808,0.0,0.0,0.02824858757062147,0.01694915254237288,0.15819209039548024,0.2598870056497175,C537
C537_D1_G10_D1,0.6521997621878716,0.0,0.0,0.0,0.0178359096313912,0.0,0.32996432818073723,C537
C537_D1_G7_D1,0.6609085092770314,0.01599488163787588,0.0,0.003838771593090211,0.014075495841330775,0.046065259117082535,0.2591170825335892,C537
C537_E1_G3_D1,0.6887366818873668,0.0045662100456621,0.0,0.00228310502283105,0.0091324200913242,0.06621004566210045,0.22907153729071536,C537
C543_A1_G10_D1,0.9002770083102493,0.0,0.0,0.0,0.0006925207756232687,0.07132963988919667,0.027700831024930747,C543
C543_A1_G2_D1,0.7772151898734178,0.0,0.0,0.0,0.030379746835443037,0.0,0.19240506329113924,C543
C543_C1_G1_D1,0.8720043572984749,0.0027233115468409588,0.03213507625272331,0.0005446623093681918,0.005991285403050109,0.0,0.08660130718954248,C543
C543_C1_G8_D1,0.8200709579320831,0.02027369488089204,0.025848960973137353,0.0,0.002534211860111505,0.039533705017739486,0.0917384693360365,C543
C543_D1_G10_D1,0.757406372275014,0.0,0.1330352152040246,0.008384572386808273,0.002794857462269424,0.01956400223588597,0.07881498043599776,C543
C543_D1_G9_D1,0.7324981577008106,0.0,0.08695652173913043,0.0,0.010316875460574797,0.05969049373618276,0.1105379513633014,C543
C544_B1_G1_D1,0.6960950764006791,0.008488964346349746,0.0933786078098472,0.0,0.015280135823429542,0.1273344651952462,0.059422750424448216,C544
C544_B1_G2_D1,0.650381679389313,0.0,0.27022900763358776,0.0,0.030534351145038167,0.0,0.04885496183206107,C544
C544_C1_G3_D1,0.5978118161925602,0.0,0.15185995623632384,0.00437636761487965,0.00437636761487965,0.0,0.24157549234135667,C544
C544_E1_B1_D1,0.40237859266600595,0.06640237859266601,0.18136769078295342,0.044598612487611496,0.007928642220019821,0.11892963330029732,0.17839444995044598,C544
