,"SPS1 (SBS1 - 0,94)","SPS2 (SBS2+13 - 0,93)","SPS3 (SBS5 - 0,98)","SPS4 (SBS17a+b - 0,88)","SPS5 (SBS22 - 0,87)","SPS6 (SBS44 - 0,90)","SPS7 (SBS88 - 0,97)"
C516,83918.577,0,11354.913,479.839,1697.941,140667.151,2907.298
C518,18258.523,0,20411.133,5395.545,2033.141,79550.525,2863.536
C519,3001.396,0,0,0,0,616.24,0
C524,7958.106,636.076,0,3455.481,0,1515.164,1024.014
C525,5167.476,776.549,94.03,43.055,0,699.391,574.219
C527,4213.958,314.652,457.375,0,79.094,247.123,0
C528,6628.846,836.248,1280.161,178.317,0,60.448,0
C530,6923.956,644.843,0,0,343.003,1021.832,1640.159
C531,12249.533,1163.302,0,0,0,1835.366,2865.305
C532,7296.285,1854.209,0,3068.294,0,2633.267,1430.297
C536,45931.444,0,0,0,0,53255.379,0
C537,2185.216,419.35,0,317.869,0,443.957,634.767
C538,4021.359,866.806,0,339.402,0,567.365,234.776
C539,849.219,2388.127,0,4571.649,0,0,1613.848
C542,4973.092,1893.747,1205.271,493.793,0,264.685,93.205
C543,2085.719,171.852,122.636,461.992,0,219.354,276.092
C544,5205.293,676.532,2358.025,0,0,170.825,1477.635
C547,1856.61,445.771,99.139,2104.909,0,548.043,284.189
C548,33528.883,0,0,1570.523,0,83014.999,2487.352
C549,3840.122,13454.118,12.352,0,0,0,0
C550,6439.574,1325.451,196.885,57.211,146.606,550.866,1969.516
C551,7514.993,1301.193,0,1843.5,322.054,1684.182,2923.803
C552,31692.656,0,0,7533.359,0,55298.926,0
C554,12408.928,2911.54,0,1196.956,0,1945.086,1062.378
C555,4216.699,113.482,0,1536.839,0,421.943,0
C559,6700.689,1026.433,55.079,893.131,0,732.249,497.296
C560,5014.789,799.437,857.847,397.658,0,446.687,349.106
C561,2621.386,821.396,462.45,13216.391,137.423,799.781,1823.657
C562,18261.48,0,41.15,1129.184,0,22627.484,544.268
