,"SPS1 (SBS1 - 0,94)","SPS2 (SBS2+13 - 0,93)","SPS3 (SBS5 - 0,98)","SPS4 (SBS17a+b - 0,88)","SPS5 (SBS22 - 0,87)","SPS6 (SBS44 - 0,90)","SPS7 (SBS88 - 0,97)"
C516_E1_B1_D1,7995,0,0,314,0,14666,0
C519_A1_G1_D1,375,0,53,0,73,1,0
C519_A1_G10_D1,1067,38,0,0,0,98,0
C519_A1_G5_D1,2044,33,0,23,0,237,0
C519_B1_G2_D1,1046,36,88,0,21,0,0
C519_B1_G3_D1,1100,4,52,0,0,113,0
C519_D1_G2_D1,1377,28,0,0,0,63,0
C519_D1_G9_D1,1289,61,34,0,0,101,0
C519_E1_G1_D1,998,4,11,18,62,27,0
C524_A1_G3_D1,2168,13,136,0,4,0,74
C524_A1_G6_D1,2085,0,11,0,10,0,56
C527_A1_G10_D1,1608,117,228,0,143,0,0
C527_A1_G8_D1,676,0,60,4,17,0,23
C527_C1_G7_D1,747,42,294,0,114,0,0
C527_C1_G9_D1,681,35,149,5,33,60,0
C527_D1_B1_D1,1915,106,360,28,83,65,0
C528_B1_G6_D1,1372,62,279,0,26,0,10
C528_D1_G6_D1,311,3,64,0,6,13,15
C528_D1_G8_D1,766,13,188,0,8,0,5
C528_D1_G9_D1,1063,23,173,0,2,19,0
C530_B1_G2_D1,830,35,0,0,91,180,362
C530_B1_G7_D1,962,20,50,6,22,110,129
C530_C1_G10_D1,607,64,0,0,55,166,339
C530_C1_G7_D1,571,8,0,0,6,39,91
C530_E1_G1_D1,1221,61,199,40,52,34,58
C531_D1_G1_D1,2173,36,0,0,85,0,696
C531_D1_G2_D1,2198,0,49,0,41,63,569
C531_D1_G7_D1,620,64,0,36,17,91,162
C537_B1_G3_D1,1047,0,104,0,0,20,1019
C537_B1_G4_D1,95,0,0,5,3,28,46
C537_D1_G10_D1,1097,0,0,0,30,0,555
C537_D1_G7_D1,1033,25,0,6,22,72,405
C537_E1_G3_D1,905,6,0,3,12,87,301
C543_A1_G10_D1,1300,0,0,0,1,103,40
C543_A1_G2_D1,307,0,0,0,12,0,76
C543_C1_G1_D1,1601,5,59,1,11,0,159
C543_C1_G8_D1,1618,40,51,0,5,78,181
C543_D1_G10_D1,1355,0,238,15,5,35,141
C543_D1_G9_D1,994,0,118,0,14,81,150
C544_B1_G1_D1,410,5,55,0,9,75,35
C544_B1_G2_D1,426,0,177,0,20,0,32
C544_C1_G3_D1,1366,0,347,10,10,0,552
C544_E1_B1_D1,406,67,183,45,8,120,180
C544_E1_G1_D1,403,108,191,60,33,81,110
C544_E1_G3_D1,204,91,0,53,48,33,96
C547_A1_G4_D1,1135,0,54,1,9,26,845
C547_B1_G2_D1,1148,0,31,0,25,73,907
C547_B1_G3_D1,1045,10,24,0,2,99,598
C547_B1_G4_D1,1051,142,0,526,0,238,334
C547_C1_G7_D1,795,0,204,30,20,68,666
C547_D1_G6_D1,1075,0,160,0,0,0,774
C547_D1_G8_D1,1141,0,317,0,10,0,739
C547_E1_G1_D1,886,0,157,0,28,5,410
C548_E1_B1_D1,397,5,0,98,29,821,142
C549_A1_G2_D1,1247,10,0,0,0,78,0
C549_A1_G8_D1,1059,0,31,0,0,0,0
C549_C1_G4_D1,688,0,41,0,0,85,0
C549_C1_G8_D1,1405,0,0,0,6,125,0
C550_A1_G2_D1,1936,0,358,0,248,0,442
C550_B1_G2_D1,1684,26,414,7,163,51,398
C550_B1_G3_D1,1652,31,319,1,132,38,339
C550_C1_G3_D1,1629,0,376,0,125,0,532
C550_C1_G4_D1,976,0,329,2,96,0,526
C550_D1_G2_D1,2137,10,380,1,60,0,347
C550_D1_G5_D1,2094,37,315,2,84,0,636
C551_D1_G5_D1,1454,0,386,0,3,19,133
C552_A1_G1_D1,2365,202,280,0,269,156,0
C552_B1_G10_D1,8476,0,0,1196,191,8384,0
C552_B1_G8_D1,2285,117,242,0,218,221,0
C552_B1_G9_D1,1666,47,179,6,0,81,0
C552_C1_G1_D1,2398,213,223,0,218,162,0
C552_C1_G8_D1,2520,85,132,0,142,140,0
C552_E1_G3_D1,2052,112,30,59,162,181,0
C555_B1_G10_D1,1725,0,0,0,12,6,0
C555_C1_G1_D1,2226,52,11,7,0,5,0
C555_C1_G7_D1,1649,32,24,0,7,109,0
C555_C1_G9_D1,2553,18,0,0,15,26,0
C560_A1_G8_D1,1383,6,382,2,22,0,0
C560_D1_G5_D1,1169,0,190,0,6,78,38
C560_D1_G9_D1,1261,0,306,0,10,35,0
C562_B1_G3_D1,2461,31,416,0,41,125,0
C562_B1_G4_D1,2834,74,359,0,36,183,0
C562_C1_G6_D1,3293,0,402,0,0,0,0
C562_D1_G2_D1,2624,53,566,0,10,0,0
C562_E1_G2_D1,1806,24,173,5,25,97,0
