,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18
O132,0.20406,0.12265,0.05837,0.04929,0.00729,0.00565,0.00000,0.01171,0.08446,0.01520,0.02158,0.00000,0.00000,0.00496,0.03763,0.00000,0.00808,0.36907
O162,0.25699,0.10914,0.10900,0.07213,0.26667,0.03898,0.00000,0.02702,0.08032,0.02117,0.00616,0.00000,0.00000,0.00742,0.00000,0.00500,0.00000,0.00000
O176,0.24027,0.14956,0.11900,0.09799,0.13699,0.01103,0.00000,0.00447,0.12295,0.02247,0.01528,0.00000,0.03684,0.00713,0.00000,0.00000,0.00000,0.03603
O187,0.28899,0.20302,0.07601,0.08902,0.06290,0.00000,0.00000,0.04775,0.09636,0.04012,0.03055,0.00000,0.00000,0.01444,0.00000,0.00000,0.00000,0.05085
O189,0.34036,0.14354,0.02349,0.05197,0.05891,0.00000,0.00000,0.00036,0.09240,0.04971,0.01852,0.00000,0.01415,0.00000,0.00000,0.00000,0.00000,0.20660
O193,0.23021,0.12406,0.12130,0.08793,0.07854,0.00000,0.00000,0.04217,0.11816,0.09614,0.00011,0.00000,0.03461,0.02113,0.00000,0.02202,0.02363,0.00000
O208,0.28083,0.08363,0.06445,0.06348,0.31419,0.00000,0.00000,0.04143,0.09100,0.04199,0.01428,0.00000,0.00000,0.00471,0.00000,0.00000,0.00000,0.00000
O232,0.23195,0.05729,0.09670,0.02238,0.21739,0.00392,0.00185,0.02042,0.06721,0.04205,0.02105,0.00000,0.00000,0.00093,0.02097,0.00000,0.00000,0.19589
O244,0.23550,0.09700,0.12440,0.07845,0.12275,0.00389,0.01700,0.03943,0.12339,0.08481,0.01395,0.00000,0.02631,0.00000,0.03304,0.00008,0.00000,0.00000
O251,0.24277,0.12471,0.04977,0.07035,0.25349,0.01158,0.00000,0.03095,0.10319,0.05874,0.04053,0.00000,0.00639,0.00752,0.00000,0.00000,0.00000,0.00000
O311,0.08153,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.91847
O325,0.14420,0.05391,0.07059,0.03468,0.08325,0.00000,0.00000,0.00000,0.10765,0.01600,0.03121,0.00000,0.00000,0.00644,0.01736,0.00000,0.00000,0.43471
O333,0.20892,0.07933,0.06566,0.12507,0.25672,0.00645,0.02702,0.03391,0.03672,0.04084,0.05183,0.00000,0.00000,0.01868,0.04639,0.00000,0.00245,0.00000
O337,0.00000,0.52366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.47634
O340,0.32073,0.09603,0.04033,0.04237,0.15171,0.01792,0.00000,0.00224,0.10058,0.08376,0.02529,0.00000,0.00000,0.00605,0.04954,0.00000,0.00000,0.06345
O342,0.27035,0.17117,0.06959,0.10650,0.13355,0.01605,0.00000,0.02602,0.10695,0.03709,0.01898,0.00000,0.00000,0.00474,0.03901,0.00000,0.00000,0.00000
O395,0.17059,0.05142,0.06836,0.07446,0.00000,0.04216,0.01422,0.00000,0.09118,0.05802,0.01724,0.01089,0.00000,0.00275,0.02658,0.00036,0.00000,0.37179
O401,0.16930,0.08761,0.09457,0.08266,0.32579,0.00781,0.00000,0.02302,0.12143,0.03910,0.00000,0.00000,0.04871,0.00000,0.00000,0.00000,0.00000,0.00000
OO10,0.07658,0.00000,0.00000,0.00000,0.01444,0.00000,0.00000,0.00000,0.02515,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88383
OO23,0.27022,0.09383,0.09015,0.03102,0.24034,0.01802,0.00000,0.06454,0.03902,0.04572,0.04665,0.00000,0.00000,0.03018,0.03031,0.00000,0.00000,0.00000
OO35,0.20695,0.06566,0.03228,0.09205,0.15174,0.04393,0.00000,0.03921,0.08799,0.02707,0.06003,0.00000,0.02552,0.02021,0.14239,0.00000,0.00496,0.00000
OO39,0.21057,0.13919,0.14764,0.07923,0.00000,0.02055,0.00000,0.01457,0.13195,0.03721,0.01605,0.00000,0.00920,0.02155,0.00000,0.00000,0.01124,0.16105
OO82,0.30720,0.13857,0.03050,0.06924,0.21168,0.00417,0.00767,0.03563,0.07986,0.05435,0.04024,0.00000,0.01134,0.00482,0.00000,0.00000,0.00000,0.00475
OO94,0.23232,0.13956,0.08442,0.04157,0.12680,0.01246,0.00000,0.00000,0.05839,0.04611,0.02516,0.00000,0.01349,0.01066,0.00000,0.00000,0.00000,0.20906
OO99,0.27052,0.07973,0.09833,0.09135,0.24673,0.01940,0.00000,0.03196,0.03517,0.08754,0.02663,0.00000,0.00000,0.01263,0.00000,0.00000,0.00000,0.00000
OOO8,0.17599,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.82401
PD34199,0.33611,0.13181,0.10767,0.08592,0.08471,0.00485,0.00000,0.05302,0.08737,0.03480,0.03132,0.00000,0.03245,0.00996,0.00000,0.00000,0.00000,0.00000
PD34200,0.28603,0.16874,0.06524,0.07152,0.16661,0.00755,0.00110,0.04786,0.09442,0.04503,0.02711,0.00000,0.00129,0.00800,0.00000,0.00000,0.00000,0.00949
PD34201,0.23799,0.11633,0.06082,0.07956,0.11724,0.00817,0.00000,0.02654,0.11756,0.04573,0.04229,0.00000,0.00551,0.00571,0.00000,0.00000,0.00000,0.13655
PD37266,0.22824,0.12879,0.09442,0.05548,0.09330,0.00322,0.00000,0.00000,0.08613,0.01793,0.00000,0.00000,0.00766,0.00503,0.00000,0.00978,0.00000,0.27002
PD37449,0.05911,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.94089
PD37590,0.27996,0.15422,0.06249,0.07841,0.14087,0.01264,0.00383,0.04728,0.10954,0.05105,0.02634,0.00000,0.00914,0.02423,0.00000,0.00000,0.00000,0.00000
