,SPS7 ,group
C516_E1_B1_D1,0,DistantNormals
C519_A1_G1_D1,0,AdjacentNormals
C519_A1_G10_D1,0,AdjacentNormals
C519_A1_G5_D1,0,AdjacentNormals
C519_B1_G2_D1,0,AdjacentNormals
C519_B1_G3_D1,0,AdjacentNormals
C519_D1_G2_D1,0,AdjacentNormals
C519_D1_G9_D1,0,AdjacentNormals
C519_E1_G1_D1,0,DistantNormals
C524_A1_G3_D1,74,AdjacentNormals
C524_A1_G6_D1,56,AdjacentNormals
C527_A1_G10_D1,0,AdjacentNormals
C527_A1_G8_D1,23,AdjacentNormals
C527_C1_G7_D1,0,AdjacentNormals
C527_C1_G9_D1,0,AdjacentNormals
C527_D1_B1_D1,0,AdjacentNormals
C528_B1_G6_D1,10,AdjacentNormals
C528_D1_G6_D1,15,AdjacentNormals
C528_D1_G8_D1,5,AdjacentNormals
C528_D1_G9_D1,0,AdjacentNormals
C530_B1_G2_D1,362,AdjacentNormals
C530_B1_G7_D1,129,AdjacentNormals
C530_C1_G10_D1,339,AdjacentNormals
C530_C1_G7_D1,91,AdjacentNormals
C530_E1_G1_D1,58,DistantNormals
C531_D1_G1_D1,696,AdjacentNormals
C531_D1_G2_D1,569,AdjacentNormals
C531_D1_G7_D1,162,AdjacentNormals
C537_B1_G3_D1,1019,AdjacentNormals
C537_B1_G4_D1,46,AdjacentNormals
C537_D1_G10_D1,555,AdjacentNormals
C537_D1_G7_D1,405,AdjacentNormals
C537_E1_G3_D1,301,DistantNormals
C543_A1_G10_D1,40,AdjacentNormals
C543_A1_G2_D1,76,AdjacentNormals
C543_C1_G1_D1,159,AdjacentNormals
C543_C1_G8_D1,181,AdjacentNormals
C543_D1_G10_D1,141,AdjacentNormals
C543_D1_G9_D1,150,AdjacentNormals
C544_B1_G1_D1,35,AdjacentNormals
C544_B1_G2_D1,32,AdjacentNormals
C544_C1_G3_D1,552,AdjacentNormals
C544_E1_B1_D1,180,DistantNormals
C544_E1_G1_D1,110,DistantNormals
C544_E1_G3_D1,96,DistantNormals
C547_A1_G4_D1,845,AdjacentNormals
C547_B1_G2_D1,907,AdjacentNormals
C547_B1_G3_D1,598,AdjacentNormals
C547_B1_G4_D1,334,AdjacentNormals
C547_C1_G7_D1,666,AdjacentNormals
C547_D1_G6_D1,774,AdjacentNormals
C547_D1_G8_D1,739,AdjacentNormals
C547_E1_G1_D1,410,AdjacentNormals
C548_E1_B1_D1,142,DistantNormals
C549_A1_G2_D1,0,AdjacentNormals
C549_A1_G8_D1,0,AdjacentNormals
C549_C1_G4_D1,0,AdjacentNormals
C549_C1_G8_D1,0,AdjacentNormals
C550_A1_G2_D1,442,AdjacentNormals
C550_B1_G2_D1,398,AdjacentNormals
C550_B1_G3_D1,339,AdjacentNormals
C550_C1_G3_D1,532,AdjacentNormals
C550_C1_G4_D1,526,AdjacentNormals
C550_D1_G2_D1,347,AdjacentNormals
C550_D1_G5_D1,636,AdjacentNormals
C551_D1_G5_D1,133,AdjacentNormals
C552_A1_G1_D1,0,AdjacentNormals
C552_B1_G10_D1,0,AdjacentNormals
C552_B1_G8_D1,0,AdjacentNormals
C552_B1_G9_D1,0,AdjacentNormals
C552_C1_G1_D1,0,AdjacentNormals
C552_C1_G8_D1,0,AdjacentNormals
C552_E1_G3_D1,0,DistantNormals
C555_B1_G10_D1,0,AdjacentNormals
C555_C1_G1_D1,0,AdjacentNormals
C555_C1_G7_D1,0,AdjacentNormals
C555_C1_G9_D1,0,AdjacentNormals
C560_A1_G8_D1,0,AdjacentNormals
C560_D1_G5_D1,38,AdjacentNormals
C560_D1_G9_D1,0,AdjacentNormals
C562_B1_G3_D1,0,AdjacentNormals
C562_B1_G4_D1,0,AdjacentNormals
C562_C1_G6_D1,0,AdjacentNormals
C562_D1_G2_D1,0,AdjacentNormals
C562_E1_G2_D1,0,DistantNormals
