,pks,t-del
C519,1.0,0.4119897959183673
C527,0.8571428571428571,0.33683289588801396
C528,0.09090909090909093,0.16116248348745044
C530,0.17647058823529413,0.1506615450277422
C531,0.0,0.13014671083767154
C537,0.0,0.13934045517882024
C539,1.0,0.228
C542,0.5333333333333333,0.11274277593557555
C543,0.0,0.09547083740632127
C544,0.9285714285714286,0.3041301627033792
C547,0.7692307692307693,0.2650231124807396
C549,0.07692307692307693,0.1994645247657296
C550,0.5625,0.22021711546595235
C551,0.0,0.12320328542094455
C554,0.0,0.1931064958020327
C555,0.0,0.11948529411764705
C559,0.0,0.08679544853135751
C560,0.0,0.0962566844919786
C561,1.0,0.3790051876716509
