,dlist,alist,clist
0,1440.0,4001.0,4959.0
1,1757.0,3993.0,69820.0
2,2465.0,3424.0,6537.0
3,4408.0,13192.0,4864.0
4,15474.0,989.0,66849.0
5,536.0,1350.0,1731.0
6,1277.0,3049.0,94518.0
7,831.0,3429.0,10708.0
8,1522.0,2953.0,3902.0
9,2351.0,3537.0,5899.0
10,650.0,2557.0,4698.0
11,785.0,3062.0,6224.0
12,419.0,4910.0,6288.0
13,,3347.0,4990.0
14,,5059.0,6372.0
15,,4443.0,7961.0
16,,2286.0,54623.0
17,,7259.0,8396.0
18,,1380.0,3731.0
19,,2981.0,6745.0
20,,2756.0,3894.0
21,,2412.0,34665.0
22,,7563.0,8862.0
23,,1360.0,2386.0
24,,2026.0,4843.0
25,,972.0,6530.0
26,,1941.0,6267.0
27,,2646.0,6209.0
28,,2879.0,8546.0
29,,1849.0,1578.0
30,,3339.0,29939.0
31,,2262.0,3497.0
32,,1280.0,91702.0
33,,1644.0,2227.0
34,,2439.0,3249.0
35,,2073.0,7774.0
36,,505.0,3303.0
37,,5124.0,4040.0
38,,760.0,58996.0
39,,2515.0,65660.0
40,,2411.0,70113.0
41,,3378.0,4052.0
42,,3628.0,3305.0
43,,3861.0,1742.0
44,,2861.0,58209.0
45,,2719.0,5000.0
46,,2293.0,4537.0
47,,12156.0,8462.0
48,,1395.0,3621.0
49,,2138.0,29919.0
50,,2799.0,1949.0
51,,1076.0,2687.0
52,,1012.0,2481.0
53,,2129.0,4859.0
54,,3411.0,6307.0
55,,1622.0,2276.0
56,,7367.0,4129.0
57,,3041.0,1843.0
58,,6320.0,3242.0
59,,3688.0,3418.0
60,,3436.0,6239.0
61,,7887.0,6286.0
62,,2746.0,4824.0
63,,3370.0,10712.0
64,,3879.0,6439.0
65,,2087.0,5899.0
66,,320.0,3531.0
67,,1828.0,3410.0
68,,6791.0,58200.0
69,,1753.0,8212.0
70,,2242.0,6212.0
71,,2545.0,3701.0
72,,3523.0,3533.0
73,,9315.0,6460.0
74,,,6136.0
75,,,4692.0
76,,,4675.0
77,,,5619.0
78,,,2902.0
79,,,1758.0
80,,,34348.0
81,,,2318.0
82,,,5119.0
83,,,1396.0
84,,,29778.0
85,,,11617.0
86,,,6834.0
87,,,8190.0
88,,,6436.0
89,,,30277.0
90,,,3124.0
91,,,52292.0
92,,,3170.0
93,,,2681.0
94,,,2596.0
95,,,11324.0
96,,,82405.0
97,,,3380.0
98,,,1977.0
99,,,3449.0
100,,,4941.0
101,,,11251.0
102,,,2614.0
103,,,3325.0
104,,,7533.0
105,,,7718.0
106,,,3205.0
107,,,6075.0
108,,,4067.0
109,,,54857.0
110,,,79475.0
111,,,1577.0
112,,,38001.0
113,,,2633.0
114,,,3713.0
115,,,6419.0
116,,,3514.0
117,,,8041.0
118,,,32953.0
119,,,2213.0
120,,,2812.0
121,,,2677.0
122,,,8317.0
123,,,6766.0
124,,,8857.0
125,,,8545.0
126,,,1266.0
127,,,111505.0
128,,,1843.0
129,,,1939.0
130,,,1364.0
131,,,17794.0
132,,,10938.0
133,,,4892.0
134,,,4728.0
135,,,29944.0
136,,,3054.0
137,,,4750.0
138,,,3325.0
139,,,5003.0
140,,,1342.0
141,,,6788.0
142,,,2926.0
143,,,6469.0
144,,,1977.0
145,,,4950.0
146,,,10364.0
147,,,1669.0
148,,,4663.0
149,,,3816.0
150,,,9934.0
151,,,5037.0
152,,,2625.0
153,,,3666.0
154,,,2501.0
155,,,1810.0
156,,,7579.0
157,,,2964.0
158,,,1159.0
159,,,2343.0
160,,,3259.0
161,,,30467.0
162,,,1553.0
163,,,3771.0
164,,,4933.0
165,,,58979.0
166,,,5741.0
167,,,6252.0
168,,,4066.0
169,,,9015.0
170,,,5961.0
171,,,6529.0
172,,,6195.0
173,,,8200.0
174,,,60402.0
175,,,4870.0
176,,,76724.0
177,,,5119.0
178,,,16125.0
179,,,92386.0
180,,,4711.0
181,,,1901.0
182,,,5068.0
183,,,5346.0
184,,,11381.0
185,,,3267.0
186,,,6265.0
187,,,6430.0
188,,,56411.0
189,,,5162.0
190,,,6207.0
191,,,4339.0
192,,,4253.0
193,,,18667.0
194,,,5477.0
195,,,61229.0
196,,,2811.0
197,,,1212.0
198,,,5008.0
199,,,5876.0
200,,,2317.0
201,,,5411.0
202,,,2976.0
203,,,5182.0
204,,,6321.0
205,,,6137.0
206,,,6217.0
207,,,4014.0
208,,,11548.0
209,,,2257.0
210,,,4273.0
211,,,8923.0
212,,,63183.0
213,,,4915.0
214,,,1157.0
215,,,2666.0
216,,,74757.0
217,,,3713.0
218,,,18346.0
219,,,29582.0
220,,,4608.0
221,,,3302.0
222,,,3375.0
223,,,5963.0
224,,,6616.0
225,,,6680.0
226,,,6255.0
227,,,7862.0
228,,,7342.0
229,,,4701.0
