,percentage,pks+island,pid,type,percentage2
C516_A1_B1_D1,5.588623106564571e-07,Yes,C516,cancer,5.588623106564571e-07
C516_A1_G1_D1,6.470411779848253e-07,No,C516,cancer,0.0
C516_B1_G7_D1,1.0106759762994592e-06,Yes,C516,cancer,1.0106759762994592e-06
C516_B3_B1_D1,5.087948121571402e-08,No,C516,cancer,0.0
C516_B3_G9_D1,2.681173853328708e-06,Yes,C516,cancer,2.681173853328708e-06
C516_C1_G3_D1,2.3827490552124547e-07,No,C516,cancer,0.0
C516_C1_G8_D1,5.451195240550511e-07,Yes,C516,cancer,5.451195240550511e-07
C516_D1_G5_D1,5.980569953732183e-06,Yes,C516,cancer,5.980569953732183e-06
C516_E1_B1_D1,0.00013548989940261744,Yes,C516,distant normal,0.00013548989940261744
C516_Z1_B1_D1,1.7339915195223248e-08,No,C516,cancer,0.0
C518_A1_G2_D1,2.39236828683378e-06,No,C518,cancer,0.0
C518_A1_G4_D1,2.7631376677611233e-06,No,C518,cancer,0.0
C518_A1_G6_D1,4.288437045884067e-06,No,C518,cancer,0.0
C518_B1_G6_D1,1.471661995036401e-05,Yes,C518,cancer,1.471661995036401e-05
C518_B1_G7_D1,1.9736656598438315e-05,No,C518,cancer,0.0
C518_B1_G8_D1,0.00010330030891339414,No,C518,cancer,0.0
C518_C1_G10_D1,4.318529450636986e-06,No,C518,cancer,0.0
C518_C1_G8_D1,9.890227089106819e-06,Yes,C518,cancer,9.890227089106819e-06
C518_D1_G6_D1,8.04169078075476e-06,No,C518,cancer,0.0
C518_D1_G8_D1,1.3210242490666982e-05,No,C518,cancer,0.0
C518_E1_B1_D1,2.5152199385632686e-06,No,C518,distant normal,0.0
C519_A1_G10_D1,9.278377075432287e-07,Yes,C519,adjacent normal,9.278377075432287e-07
C519_A1_G1_D1,2.377314851099751e-06,Yes,C519,adjacent normal,2.377314851099751e-06
C519_A1_G5_D1,1.40802976742061e-06,Yes,C519,adjacent normal,1.40802976742061e-06
C519_A4_L1_D1,6.363074182230753e-07,Yes,C519,cancer,6.363074182230753e-07
C519_B1_G2_D1,9.330802247963431e-06,Yes,C519,adjacent normal,9.330802247963431e-06
C519_B1_G3_D1,1.226027095710748e-05,Yes,C519,adjacent normal,1.226027095710748e-05
C519_B1_G8_D1,3.0671981565341693e-05,Yes,C519,cancer,3.0671981565341693e-05
C519_B3_L1_D1,8.35174883974302e-06,Yes,C519,cancer,8.35174883974302e-06
C519_C1_L1_D1,2.4460977495573846e-05,Yes,C519,cancer,2.4460977495573846e-05
C519_D1_G2_D1,2.1612350294555878e-06,Yes,C519,adjacent normal,2.1612350294555878e-06
C519_D1_G9_D1,4.866807566428823e-05,Yes,C519,adjacent normal,4.866807566428823e-05
C519_D2_L1_D1,1.4623308305415105e-06,Yes,C519,cancer,1.4623308305415105e-06
C519_E1_B1_D1,6.24257107976493e-07,Yes,C519,distant normal,6.24257107976493e-07
C519_E1_G1_D1,7.673243011426586e-07,Yes,C519,distant normal,7.673243011426586e-07
C524_A1_G3_D1,3.228962402511845e-07,No,C524,adjacent normal,0.0
C524_A1_G6_D1,7.053014820780523e-07,No,C524,adjacent normal,0.0
C524_B1_G4_D1,6.388711433896879e-08,No,C524,cancer,0.0
C524_B1_G5_D1,1.870054695637719e-07,No,C524,cancer,0.0
C524_B1_G6_D1,2.0443254813406524e-07,No,C524,cancer,0.0
C524_C1_G10_D1,2.7675844329433794e-08,No,C524,cancer,0.0
C524_C1_G2_D1,9.18423199252455e-08,No,C524,cancer,0.0
C524_C1_G4_D1,3.0525147568754805e-08,No,C524,cancer,0.0
C524_C1_G5_D1,1.0310932365797967e-07,No,C524,cancer,0.0
C524_C1_G8_D1,8.891961183524322e-08,No,C524,cancer,0.0
C524_D1_G10_D1,4.699009482164127e-08,No,C524,cancer,0.0
C524_D1_G5_D1,5.824800513717925e-08,No,C524,cancer,0.0
C524_E1_B1_D1,2.6471051415567375e-07,No,C524,distant normal,0.0
C527_A1_B1_D1,5.903643018431249e-06,Yes,C527,cancer,5.903643018431249e-06
C527_A1_G10_D1,1.1963856716889617e-06,Yes,C527,adjacent normal,1.1963856716889617e-06
C527_A1_G8_D1,1.0269475608159174e-05,Yes,C527,adjacent normal,1.0269475608159174e-05
C527_A3_L1_D1,7.262221679643331e-06,Yes,C527,cancer,7.262221679643331e-06
C527_B1_B1_D1,7.27439369181391e-08,No,C527,cancer,0.0
C527_B1_G5_D1,3.240346854962711e-06,Yes,C527,cancer,3.240346854962711e-06
C527_B1_G7_D1,1.7396590389860077e-06,Yes,C527,cancer,1.7396590389860077e-06
C527_B3_L1_D1,1.5361232659244244e-06,Yes,C527,cancer,1.5361232659244244e-06
C527_C1_B1_D1,3.7954806215925034e-07,Yes,C527,cancer,3.7954806215925034e-07
C527_C1_G7_D1,1.1622044612072394e-06,Yes,C527,adjacent normal,1.1622044612072394e-06
C527_C1_G9_D1,1.0572009670624268e-07,No,C527,adjacent normal,0.0
C527_C2_L1_D1,2.621352596527324e-06,Yes,C527,cancer,2.621352596527324e-06
C527_D1_B1_D1,1.264057895894554e-07,Yes,C527,adjacent normal,1.264057895894554e-07
C527_E1_B1_D1,3.694637793334343e-07,Yes,C527,distant normal,3.694637793334343e-07
C528_A1_G7_D1,3.455691472750323e-06,No,C528,cancer,0.0
C528_A1_G9_D1,4.836744072273564e-07,No,C528,cancer,0.0
C528_B1_G2_D1,2.233698629850163e-07,No,C528,cancer,0.0
C528_B1_G6_D1,2.574311234062322e-07,No,C528,adjacent normal,0.0
C528_B1_G9_D1,4.0422561286666297e-07,No,C528,cancer,0.0
C528_C1_G10_D1,6.281735868712935e-07,No,C528,cancer,0.0
C528_C1_G9_D1,2.7270591560921406e-07,No,C528,cancer,0.0
C528_D1_G6_D1,4.6900562472050194e-07,No,C528,adjacent normal,0.0
C528_D1_G8_D1,4.80516632184443e-07,No,C528,adjacent normal,0.0
C528_D1_G9_D1,4.343107099465986e-07,Yes,C528,adjacent normal,4.343107099465986e-07
C528_Z1_B1_D1,4.330963383732204e-09,No,C528,cancer,0.0
C530_A1_G1_D1,1.509982438332462e-07,No,C530,cancer,0.0
C530_A1_G4_D1,2.715598437730227e-07,No,C530,cancer,0.0
C530_A1_G6_D1,7.748141926146341e-07,No,C530,cancer,0.0
C530_A1_G9_D1,1.1978910868860662e-06,Yes,C530,cancer,1.1978910868860662e-06
C530_B1_G2_D1,3.8464539771571825e-07,No,C530,adjacent normal,0.0
C530_B1_G7_D1,8.823713653544497e-07,Yes,C530,adjacent normal,8.823713653544497e-07
C530_C1_G10_D1,2.411285606884274e-07,No,C530,adjacent normal,0.0
C530_C1_G7_D1,1.872964377617854e-06,Yes,C530,adjacent normal,1.872964377617854e-06
C530_D1_G10_D1,1.704171323099754e-06,No,C530,cancer,0.0
C530_D1_G1_D1,3.862217711303653e-06,No,C530,cancer,0.0
C530_D1_G2_D1,3.1089623463439617e-06,No,C530,cancer,0.0
C530_D1_G5_D1,1.0179512257044783e-05,No,C530,cancer,0.0
C530_E1_B1_D1,6.066749178830344e-07,No,C530,distant normal,0.0
C530_E1_G1_D1,8.756715388911862e-07,No,C530,distant normal,0.0
C530_E1_G2_D1,1.0169280485256583e-06,No,C530,distant normal,0.0
C531_A1_G10_D1,3.2903008429692604e-07,No,C531,cancer,0.0
C531_A1_G7_D1,4.049683096098998e-07,No,C531,cancer,0.0
C531_A1_G9_D1,2.46629326174373e-07,No,C531,cancer,0.0
C531_B1_G3_D1,1.1051954159831122e-06,No,C531,cancer,0.0
C531_B1_G5_D1,2.7955218227939447e-07,No,C531,cancer,0.0
C531_B1_G8_D1,3.288461909127499e-07,No,C531,cancer,0.0
C531_C1_G1_D1,2.8495845788355984e-06,No,C531,cancer,0.0
C531_C1_G2_D1,1.7114199912413769e-06,No,C531,cancer,0.0
C531_C1_G4_D1,1.2894646961993574e-06,No,C531,cancer,0.0
C531_C1_G7_D1,1.9867773345792633e-06,No,C531,cancer,0.0
C531_D1_G1_D1,3.3532866892264695e-06,No,C531,adjacent normal,0.0
C531_D1_G2_D1,4.762577166782707e-06,No,C531,adjacent normal,0.0
C531_D1_G7_D1,5.085476084429237e-06,No,C531,adjacent normal,0.0
C531_Z1_B1_D1,1.1890634264038276e-08,No,C531,cancer,0.0
C536_B1_G1_D1,1.3002262267463454e-06,No,C536,cancer,0.0
C536_B1_G4_D1,3.18144631757014e-07,No,C536,cancer,0.0
C536_B1_G6_D1,7.052784554137767e-07,No,C536,cancer,0.0
C536_B1_G9_D1,1.737610276877248e-07,No,C536,cancer,0.0
C536_C1_B1_D1,4.2057830283775013e-08,No,C536,cancer,0.0
C536_D1_G1_D1,2.1490233738246415e-07,No,C536,cancer,0.0
C536_D1_G4_D1,3.4139782576415863e-07,Yes,C536,cancer,3.4139782576415863e-07
C536_D1_G8_D1,4.156275952732313e-07,No,C536,cancer,0.0
C536_D1_G9_D1,7.470285792251567e-07,No,C536,cancer,0.0
C536_Z1_B1_D1,1.2038249425697254e-08,No,C536,cancer,0.0
C537_A1_G10_D1,2.1731500614685882e-07,No,C537,cancer,0.0
C537_A1_G1_D1,5.16240355635916e-07,No,C537,cancer,0.0
C537_B1_G3_D1,3.6756552054318916e-07,No,C537,adjacent normal,0.0
C537_B1_G4_D1,5.440344296499107e-07,No,C537,adjacent normal,0.0
C537_B1_G7_D1,6.226861714932657e-07,No,C537,cancer,0.0
C537_C1_G10_D1,2.1608203127856473e-07,No,C537,cancer,0.0
C537_C1_G1_D1,2.1233929141379886e-07,No,C537,cancer,0.0
C537_C1_G5_D1,2.2652143685154497e-07,No,C537,cancer,0.0
C537_D1_G10_D1,2.0103953176894895e-07,No,C537,adjacent normal,0.0
C537_D1_G1_D1,1.601940872863696e-07,No,C537,cancer,0.0
C537_D1_G7_D1,2.4903445979387674e-07,No,C537,adjacent normal,0.0
C537_E1_G3_D1,1.0997638326872647e-06,No,C537,distant normal,0.0
